iter	RMSE
289	13.67025398
290	13.66657498
291	13.66047227
292	13.65760591
293	13.65188714
294	13.64615153
295	13.64042159
296	13.63010908
297	13.61996909
298	13.61347237
299	13.6107102
300	13.6045569
301	13.5996844
302	13.59701343
303	13.59141833
304	13.58481524
305	13.58257839
306	13.57994001
307	13.57745302
308	13.57505002
309	13.56743645
310	13.55940198
311	13.55279999
312	13.54721656
313	13.54124162
314	13.53408251
315	13.52635131
316	13.51950503
317	13.51749303
318	13.51132426
319	13.50464875
320	13.49429733
321	13.48420275
322	13.47850872
323	13.47274077
324	13.46533472
325	13.46000565
326	13.45879784
327	13.45188982
328	13.44453914
329	13.43997217
330	13.43575874
331	13.42920571
332	13.42534686
333	13.41047362
334	13.40344287
335	13.39641413
336	13.38983
337	13.38679922
338	13.37952984
339	13.37355936
340	13.36283201
341	13.35294928
342	13.34447352
343	13.33654904
344	13.33112095
345	13.32804227
346	13.32057355
347	13.31555004
348	13.31003248
349	13.30683625
350	13.29971762
351	13.29109431
352	13.28357085
353	13.27571513
354	13.27031555
355	13.26009537
356	13.25544663
357	13.25178553
358	13.2469881
359	13.24075722
360	13.23323841
361	13.22791458
362	13.22468984
363	13.21807189
364	13.21478293
365	13.2101758
366	13.20351687
367	13.19847152
368	13.1911161
369	13.18390661
370	13.18220551
371	13.17899287
372	13.171548
373	13.16801966
374	13.16298242
375	13.15922674
376	13.15133939
377	13.13926339
378	13.13386153
379	13.12923947
380	13.12415769
381	13.12115577
382	13.11554771
383	13.11016664
384	13.10782074
385	13.10009126
386	13.09589802
387	13.09096946
388	13.08686569
389	13.08406591
390	13.07900694
391	13.07621954
392	13.07141748
393	13.06721184
394	13.06224276
395	13.05835371
396	13.05157974
397	13.04358767
398	13.03813117
399	13.03114837
400	13.02228792
401	13.01790085
402	13.0162316
403	13.01413283
404	13.00232106
405	12.99720805
406	12.98934668
407	12.98664354
408	12.98444535
409	12.98096328
410	12.97863997
411	12.97558441
412	12.96979854
413	12.96776448
414	12.96227691
415	12.95621191
416	12.95214123
417	12.94880333
418	12.94705079
419	12.93839549
420	12.93212637
421	12.92904646
422	12.92375998
423	12.91969926
424	12.91449189
425	12.91002728
426	12.90408703
427	12.90078494
428	12.89607379
429	12.89385165
430	12.8844438
431	12.88000603
432	12.87505681
433	12.87079564
434	12.86489708
435	12.86208175
436	12.85767575
437	12.8516324
438	12.84826378
439	12.84619924
440	12.84089901
441	12.83540359
442	12.83106586
443	12.82438809
444	12.82099858
445	12.81148546
446	12.80824216
447	12.8043571
448	12.80062532
449	12.79472997
450	12.78970141
451	12.78586551
452	12.77583975
453	12.77338754
454	12.77047078
455	12.76534655
456	12.76094797
457	12.75168931
458	12.74944108
459	12.74567862
460	12.73859745
461	12.73465092
462	12.7271817
463	12.72340429
464	12.71751824
465	12.70875137
466	12.7059861
467	12.69820629
468	12.69479236
469	12.69168876
470	12.68853251
471	12.68457292
472	12.67964859
473	12.67564398
474	12.67243127
475	12.67044678
476	12.66760157
477	12.66468009
478	12.65824002
479	12.65444475
480	12.65233162
481	12.6479415
482	12.64519165
483	12.64278001
484	12.63769358
485	12.63206977
486	12.62664505
487	12.62366976
488	12.6177639
489	12.61060713
490	12.60373741
491	12.5987745
492	12.59339532
493	12.58815491
494	12.58668914
495	12.58026266
496	12.5728313
497	12.56927485
498	12.56356184
499	12.55912449
500	12.5548961
501	12.55025046
502	12.54694081
503	12.54139966
504	12.53789419
505	12.53560207
506	12.53324393
507	12.53049196
508	12.52662887
509	12.52474393
510	12.52041665
511	12.51522371
512	12.50721926
513	12.50529169
514	12.50261654
515	12.49759338
516	12.49132674
517	12.48852037
518	12.48484599
519	12.47986102
520	12.47607648
521	12.47084511
522	12.46444577
523	12.46223657
524	12.459356
525	12.4565006
526	12.45438737
527	12.44943592
528	12.44357252
529	12.44082305
530	12.43704467
531	12.4284181
532	12.4245695
533	12.42157433
534	12.41666665
535	12.41333273
536	12.41247981
537	12.40697267
538	12.40446774
539	12.40241612
540	12.39934672
541	12.39220628
542	12.38686958
543	12.38254935
544	12.37490814
545	12.37321706
546	12.37019816
547	12.36599702
548	12.36113714
549	12.35717824
550	12.35312698
551	12.35049747
552	12.34872658
553	12.3410529
554	12.33778091
555	12.33545046
556	12.33353228
557	12.33221142
558	12.33054579
559	12.32255085
560	12.31986831
561	12.31601865
562	12.31020101
563	12.30490941
564	12.30134555
565	12.29878431
566	12.29434698
567	12.29277155
568	12.2903016
569	12.28427348
570	12.2821849
571	12.27922938
572	12.27585789
573	12.27138674
574	12.26849764
575	12.26168752
576	12.25712461
577	12.25353743
578	12.2509614
579	12.2494674
580	12.24297827
581	12.240496
582	12.23632795
583	12.23378602
584	12.2299833
585	12.22663724
586	12.22139338
587	12.21757043
588	12.21059557
589	12.20811987
590	12.20259131
591	12.19912977
592	12.19563524
593	12.18939035
594	12.18568172
595	12.18229397
596	12.17894905
597	12.17507568
598	12.17199948
599	12.16858697
600	12.16671789
601	12.16458024
602	12.16282027
603	12.15821211
604	12.15607233
605	12.14906493
606	12.14487913
607	12.14255893
608	12.1399489
609	12.1330404
610	12.12902099
611	12.12157154
612	12.11596099
613	12.10993752
614	12.10825571
615	12.1040255
616	12.09760474
617	12.09426505
618	12.09023771
619	12.08832868
620	12.08281915
621	12.0775307
622	12.0730696
623	12.06891305
624	12.06265826
625	12.06088345
626	12.05921362
627	12.05822221
628	12.05406816
629	12.05283871
630	12.04601053
631	12.04053295
632	12.0372133
633	12.03521131
634	12.02995518
635	12.02694819
636	12.02404124
637	12.02071606
638	12.01457662
639	12.00795004
640	12.00730027
641	12.00340361
642	11.99865213
643	11.99589844
644	11.99231874
645	11.98742615
646	11.98308392
647	11.98226779
648	11.97736653
649	11.97257467
650	11.96991343
651	11.96685167
652	11.96303278
653	11.95787341
654	11.95557684
655	11.953295
656	11.95004041
657	11.94753501
658	11.94491232
659	11.94235615
660	11.93960915
661	11.93728148
662	11.93200712
663	11.92904417
664	11.92470292
665	11.92286506
666	11.91923436
667	11.91477908
668	11.91253004
669	11.91033112
670	11.90646706
671	11.90372046
672	11.89929026
673	11.89568952
674	11.89123422
675	11.88843656
676	11.88311569
677	11.87838354
678	11.8751604
679	11.86993774
680	11.86755242
681	11.86368508
682	11.86163338
683	11.86039304
684	11.85689139
685	11.84825021
686	11.8442612
687	11.84256729
688	11.83915195
689	11.83549012
690	11.83034853
691	11.82921612
692	11.82600993
693	11.82057865
694	11.81630889
695	11.8103173
696	11.80716239
697	11.80312669
698	11.80094818
699	11.79802882
700	11.79581188
701	11.79218196
702	11.78738778
703	11.7829167
704	11.77820472
705	11.77277546
706	11.76938645
707	11.76584733
708	11.76211371
709	11.76042522
710	11.75771259
711	11.75426148
712	11.75110542
713	11.74844191
714	11.7464637
715	11.74490073
716	11.74215271
717	11.73875451
718	11.73500772
719	11.73130381
720	11.7291995
721	11.72631207
722	11.72437555
723	11.72254501
724	11.7202067
725	11.71631058
726	11.71309898
727	11.71103695
728	11.70619363
729	11.70148562
730	11.6969412
731	11.69475566
732	11.69067273
733	11.68886733
734	11.68651579
735	11.6843555
736	11.68170559
737	11.67944006
738	11.67539193
739	11.67205443
740	11.67022462
741	11.66514307
742	11.66215683
743	11.65629623
744	11.65265809
745	11.65120032
746	11.64653575
747	11.64284918
748	11.64141036
749	11.63592698
750	11.63474241
751	11.63217385
752	11.63071536
753	11.62750788
754	11.62307435
755	11.62157594
756	11.61401264
757	11.60957514
758	11.60621511
759	11.60307424
760	11.60236422
761	11.59839654
762	11.59451771
763	11.59255101
764	11.59040463
765	11.58754628
766	11.58435188
767	11.58318375
768	11.58046542
769	11.57277351
770	11.57090185
771	11.56651616
772	11.56223648
773	11.55821228
774	11.55487128
775	11.55185942
776	11.55048237
777	11.54856289
778	11.54575278
779	11.54281907
780	11.53898499
781	11.53465247
782	11.53227683
783	11.53078371
784	11.528768
785	11.52496276
786	11.51790339
787	11.51645838
788	11.50791026
789	11.50658748
790	11.50530922
791	11.50326618
792	11.50006049
793	11.49347897
794	11.49147462
795	11.48883551
796	11.48760078
797	11.48452453
798	11.48113159
799	11.48013391
800	11.47813731
801	11.47711255
802	11.47591861
803	11.46842934
804	11.46612132
805	11.46500767
806	11.46101319
807	11.4586157
808	11.45358141
809	11.45250229
810	11.45057305
811	11.44998911
812	11.44624677
813	11.44385708
814	11.44023009
815	11.43763277
816	11.43393641
817	11.43248753
818	11.43131857
819	11.42757844
820	11.42555871
821	11.42428004
822	11.42124357
823	11.41792245
824	11.41333261
825	11.40975364
826	11.40576621
827	11.40280584
828	11.39931486
829	11.39624865
830	11.39290566
831	11.39117998
832	11.38779949
833	11.38450208
834	11.38144354
835	11.37894846
836	11.37553997
837	11.37088179
838	11.36885479
839	11.36443648
840	11.3599434
841	11.35679633
842	11.35520985
843	11.35321179
844	11.3511066
845	11.3468048
846	11.34547865
847	11.3427444
848	11.34170782
849	11.33902678
850	11.33785145
851	11.33458724
852	11.33248009
853	11.32877197
854	11.3266361
855	11.32076786
856	11.31552823
857	11.30891123
858	11.30662941
859	11.30084961
860	11.2962165
861	11.29278978
862	11.29176766
863	11.28718268
864	11.28416259
865	11.28117251
866	11.27932333
867	11.27408054
868	11.27052992
869	11.26568623
870	11.26387127
871	11.25987899
872	11.25523462
873	11.25279041
874	11.25009609
875	11.24881849
876	11.2458527
877	11.24014578
878	11.23808517
879	11.23314186
880	11.23092399
881	11.22766535
882	11.22407019
883	11.22307146
884	11.22155249
885	11.21855156
886	11.21490176
887	11.21212905
888	11.21039685
889	11.20736809
890	11.20450878
891	11.20196086
892	11.19995666
893	11.19383361
894	11.19224484
895	11.18951369
896	11.18518322
897	11.18253715
898	11.1790317
899	11.17690536
900	11.17601293
901	11.17480343
902	11.17035947
903	11.16891302
904	11.16604856
905	11.16067457
906	11.15975744
907	11.15852006
908	11.15520143
909	11.15260543
910	11.1511072
911	11.14998721
912	11.14399402
913	11.14187164
914	11.13935272
915	11.13555648
916	11.13383287
917	11.12711977
918	11.12409878
919	11.12132991
920	11.11630198
921	11.11245754
922	11.10887012
923	11.10706324
924	11.10443549
925	11.10019047
926	11.09767362
927	11.09346715
928	11.08955458
929	11.0862303
930	11.08391013
931	11.07909398
932	11.07727255
933	11.07257608
934	11.06813148
935	11.06571936
936	11.06484707
937	11.06162032
938	11.05923769
939	11.05865088
940	11.05588443
941	11.0525272
942	11.05082588
943	11.04576928
944	11.0449401
945	11.04338692
946	11.04209928
947	11.03488619
948	11.0307137
949	11.02921116
950	11.0268506
951	11.02457847
952	11.02300507
953	11.02006418
954	11.01600985
955	11.01327264
956	11.01063671
957	11.00820125
958	11.00321441
959	11.00170973
960	10.99935152
961	10.99521871
962	10.99425166
963	10.99212588
964	10.99010564
965	10.98556309
966	10.98386377
967	10.98193421
968	10.97769931
969	10.97387715
970	10.97318712
971	10.97109698
972	10.96899715
973	10.96562377
974	10.96455857
975	10.96208837
976	10.95871489
977	10.95649506
978	10.95530277
979	10.95337563
980	10.94878776
981	10.94483301
982	10.94255848
983	10.93914274
984	10.93700993
985	10.93515461
986	10.934116
987	10.93141284
988	10.9295503
989	10.92439319
990	10.92204935
991	10.91913056
992	10.91732812
993	10.91410356
994	10.9111548
995	10.90649024
996	10.90455313
997	10.90296686
998	10.89796214
999	10.89618391
